ID;Voornaam;Achternaam;Email;Geboortedatum;BSN;Antistoffen;Positief getest;Vac1;Vac2;Vaccin;Geldige PCR test?
207;Emilia;Ritchie;EmiliaRitchie@example.org;28-9-1978;24319271;nee;nvt;25-4-2021;29-5-2021;PFI;Nee
208;Stefan;O'Hara;StefanO'Hara@example.org;17-12-1974;50298465;ja;25-6-2020;30-5-2021;nog inplannen;PFI;Nee
209;Kayleigh;Turcotte;KayleighTurcotte@example.org;4-5-1986;29556363;nee;nvt;2-4-2021;30-4-2021;PFI;Nee
210;Else;Balistreri;ElseBalistreri@example.org;24-1-1964;39341481;ja;26-9-2020;15-4-2021;20-5-2021;PFI;Nee
211;Kayley;Haley;KayleyHaley@example.org;2-10-1953;53148026;nee;nvt;26-3-2021;4-5-2021;PFI;Nee
212;Bert;Connelly;BertConnelly@example.org;9-12-1998;46801442;ja;5-10-2020;16-5-2021;nog inplannen;PFI;Ja, 24 uur oud
213;Alvah;Marks;AlvahMarks@example.org;20-7-1942;65841649;ja;5-10-2020;6-2-2021;14-3-2021;PFI;Nee
214;Jackson;Farrell;JacksonFarrell@example.org;28-12-1931;18534624;nee;nvt;24-5-2021;nog inplannen;PFI;Nee
215;Bart;Witting;BartWitting@example.org;16-3-1947;58778388;nee;nvt;12-1-2021;18-2-2021;PFI;Nee
216;Leann;Johnson;LeannJohnson@example.org;15-3-1947;19941086;ja;12-12-2020;20-5-2021;nog inplannen;PFI;Nee
217;Crystal;Howe;CrystalHowe@example.org;14-2-1982;16066801;ja;20-1-2021;15-1-2021;10-3-2021;PFI;Nee
218;Mertie;Strosin;MertieStrosin@example.org;24-1-1947;82221777;ja;21-11-2020;8-4-2021;17-5-2021;PFI;Nee
219;Helmer;Schiller;HelmerSchiller@example.org;16-11-1951;52018802;nee;nvt;24-5-2021;nog inplannen;PFI;Ja, 30 uur oud
220;Randall;Hauck;RandallHauck@example.org;25-9-1954;80647383;ja;23-10-2020;19-2-2021;VOLDAAN;JANS;Nee
221;Shanna;Tromp;ShannaTromp@example.org;1-9-1978;81329404;ja;30-12-2020;30-3-2021;10-5-2021;PFI;Nee
222;Charley;Fritsch;CharleyFritsch@example.org;20-8-1950;89055436;ja;22-8-2020;19-1-2021;5-3-2021;AZ;Nee
223;Leola;Cruickshank;LeolaCruickshank@example.org;30-9-1961;69819279;ja;14-7-2020;24-2-2021;15-4-2021;PFI;Nee
224;Berta;Parker;BertaParker@example.org;7-3-2001;23888868;ja;7-12-2020;6-2-2021;15-3-2021;PFI;Nee
225;Danny;Schamberger;DannySchamberger@example.org;1-9-1962;46468750;ja;3-11-2020;1-5-2021;nog inplannen;PFI;Ja, 30 uur oud
226;Ciara;Pouros;CiaraPouros@example.org;8-9-1983;55856838;nee;nvt;17-5-2021;nog inplannen;PFI;Ja, 30 uur oud
227;Virgil;Quitzon;VirgilQuitzon@example.org;23-5-1968;38097430;ja;29-5-2020;8-3-2021;3-5-2021;PFI;Nee
228;Sandra;Lebsack;SandraLebsack@example.org;22-5-1971;43709245;nee;nvt;6-4-2021;15-5-2021;AZ;Nee
229;Beverly;Klein;BeverlyKlein@example.org;22-7-1951;41907450;nee;nvt;11-5-2021;nog inplannen;PFI;Nee
230;Nora;Ryan;NoraRyan@example.org;2-9-1972;97615022;nee;nvt;28-2-2021;9-4-2021;AZ;Nee
231;Hallie;Yundt;HallieYundt@example.org;11-11-1965;77196464;nee;nvt;5-3-2021;1-5-2021;AZ;Nee
232;Hiram;Harvey;HiramHarvey@example.org;30-1-2001;27894990;ja;17-8-2020;16-3-2021;27-4-2021;PFI;Nee
233;Carmen;Olson;CarmenOlson@example.org;23-7-1959;85278598;ja;13-5-2020;20-2-2021;18-4-2021;PFI;Ja, 30 uur oud
234;Turner;Ullrich;TurnerUllrich@example.org;18-12-1973;14034160;nee;nvt;5-4-2021;28-5-2021;PFI;Nee
235;Delpha;Thompson;DelphaThompson@example.org;3-3-1940;68478442;nee;nvt;25-5-2021;nog inplannen;PFI;Nee
236;Linwood;Blick;LinwoodBlick@example.org;2-3-1951;60480109;nee;nvt;19-2-2021;22-3-2021;PFI;Nee
237;Ray;Bailey;RayBailey@example.org;3-1-2002;78452077;ja;5-10-2020;nog inplannen;nog inplannen;Niet gevaccineerd;Nee
238;Shirley;Green;ShirleyGreen@example.org;2-1-1932;12026952;ja;31-1-2021;26-1-2021;20-3-2021;AZ;Nee
239;Newell;Cormier;NewellCormier@example.org;19-8-1932;52300959;ja;28-10-2020;31-5-2021;nog inplannen;PFI;Nee
240;Bianka;Lebsack;BiankaLebsack@example.org;20-10-1976;18108852;nee;nvt;8-3-2021;23-4-2021;PFI;Ja, 30 uur oud
241;Queen;Cummerata;QueenCummerata@example.org;23-2-1931;38487859;nee;nvt;20-2-2021;17-4-2021;PFI;Nee
242;Marty;Walker;MartyWalker@example.org;3-7-1984;98373199;nee;nvt;13-5-2021;nog inplannen;MOD;Nee
243;Antwan;Bosco;AntwanBosco@example.org;18-10-1934;93270661;nee;nvt;21-3-2021;1-5-2021;AZ;Nee
244;Jace;Heaney;JaceHeaney@example.org;11-7-1962;26692521;nee;nvt;26-2-2021;23-4-2021;PFI;Nee
245;Edwina;Zieme;EdwinaZieme@example.org;1-3-1998;95129240;nee;nvt;16-1-2021;15-3-2021;PFI;Nee
246;Esteban;Romaguera;EstebanRomaguera@example.org;6-6-1991;18008849;ja;21-8-2020;7-3-2021;8-4-2021;PFI;Nee
247;Princess;Koch;PrincessKoch@example.org;28-1-1983;50258709;ja;19-9-2020;20-5-2021;nog inplannen;PFI;Ja, 30 uur oud
248;Laurianne;Cummerata;LaurianneCummerata@example.org;6-11-1997;28106745;nee;nvt;21-4-2021;VOLDAAN;AZ;Nee
249;Maggie;Gutkowski;MaggieGutkowski@example.org;5-6-1935;53148452;ja;21-6-2020;21-5-2021;nog inplannen;PFI;Nee
250;Imelda;Weimann;ImeldaWeimann@example.org;18-8-2000;71362964;ja;13-10-2020;28-3-2021;VOLDAAN;JANS;Nee
251;Jacey;Tremblay;JaceyTremblay@example.org;28-2-2001;18543469;nee;nvt;22-4-2021;27-5-2021;PFI;Nee
252;Herminia;Johnston;HerminiaJohnston@example.org;6-4-1932;15067310;ja;21-7-2020;4-2-2021;21-3-2021;PFI;Nee
253;Talia;Wolf;TaliaWolf@example.org;21-9-1947;44593632;ja;23-7-2020;7-2-2021;15-3-2021;PFI;Nee
254;Kelley;Huel;KelleyHuel@example.org;26-2-1975;41393330;nee;nvt;21-5-2021;nog inplannen;PFI;Ja, 30 uur oud
255;Rocio;Rath;RocioRath@example.org;30-7-1959;58382833;ja;2-7-2020;16-3-2021;7-5-2021;PFI;Nee
256;Helene;Kirlin;HeleneKirlin@example.org;16-2-1964;25467601;nee;nvt;31-1-2021;11-3-2021;PFI;Nee
257;Autumn;Nitzsche;AutumnNitzsche@example.org;24-4-1951;37873330;nee;nvt;8-5-2021;nog inplannen;PFI;Nee
258;Jamal;Lind;JamalLind@example.org;24-6-1952;59491619;ja;19-8-2020;26-4-2021;2-6-2021;PFI;Nee
259;Demetris;Erdman;DemetrisErdman@example.org;3-11-2002;54124102;nee;nvt;6-4-2021;8-5-2021;PFI;Nee
260;Osvaldo;Leffler;OsvaldoLeffler@example.org;23-9-1974;54051623;ja;12-6-2020;25-3-2021;8-5-2021;MOD;Nee
261;Kellen;Langosh;KellenLangosh@example.org;22-1-1999;26858260;ja;2-6-2020;7-2-2021;21-4-2021;PFI;Ja, 50 uur oud
262;Carolyn;Medhurst;CarolynMedhurst@example.org;15-4-1970;71743583;nee;nvt;26-3-2021;28-4-2021;AZ;Nee
263;Della;Wiegand;DellaWiegand@example.org;27-7-1990;59271241;ja;17-9-2020;17-2-2021;18-3-2021;PFI;Nee
264;Brandyn;Willms;BrandynWillms@example.org;10-3-1942;89029454;nee;nvt;29-5-2021;nog inplannen;PFI;Nee
265;Grover;Hettinger;GroverHettinger@example.org;26-4-1977;10985776;nee;nvt;27-2-2021;10-4-2021;PFI;Nee
266;Estelle;Lindgren;EstelleLindgren@example.org;9-9-1954;21012628;nee;nvt;24-5-2021;nog inplannen;MOD;Nee
267;Bennie;Effertz;BennieEffertz@example.org;7-11-2003;82185590;ja;15-1-2021;19-4-2021;2-6-2021;PFI;Nee
268;Jayne;Hermiston;JayneHermiston@example.org;5-3-1956;12371081;nee;nvt;30-5-2021;VOLDAAN;AZ;Ja, 30 uur oud
269;Hulda;Prosacco;HuldaProsacco@example.org;26-9-1941;23063856;ja;20-12-2020;27-4-2021;28-5-2021;ONB;Nee
270;Felicity;Rutherford;FelicityRutherford@example.org;4-6-1977;39585190;nee;nvt;1-2-2021;8-3-2021;PFI;Nee
271;Miles;Torp;MilesTorp@example.org;29-5-1942;88243932;nee;nvt;8-5-2021;nog inplannen;PFI;Nee
272;Kaela;Daniel;KaelaDaniel@example.org;26-10-1997;59804668;nee;nvt;15-2-2021;15-4-2021;AZ;Nee
273;Edgardo;Wunsch;EdgardoWunsch@example.org;19-8-1978;96978337;nee;nvt;28-2-2021;26-4-2021;PFI;Nee
274;Sincere;Funk;SincereFunk@example.org;29-11-1991;65585158;nee;nvt;15-1-2021;17-2-2021;PFI;Nee
275;Vernon;Stokes;VernonStokes@example.org;22-11-1987;42867211;ja;26-7-2020;20-1-2021;11-3-2021;PFI;Ja, 30 uur oud
276;Glenna;Pfeffer;GlennaPfeffer@example.org;9-5-1943;28793206;nee;nvt;23-3-2021;17-5-2021;PFI;Nee
277;Christy;Wyman;ChristyWyman@example.org;28-9-1992;33378919;nee;nvt;12-1-2021;2-3-2021;PFI;Nee
278;Erik;Lesch;ErikLesch@example.org;2-9-1982;15401706;nee;nvt;7-4-2021;15-5-2021;PFI;Nee
279;Yadira;Russel;YadiraRussel@example.org;21-1-1965;47389927;nee;nvt;12-4-2021;12-5-2021;PFI;Nee
280;Nicolette;Quitzon;NicoletteQuitzon@example.org;21-11-1955;52918626;ja;9-6-2020;18-5-2021;nog inplannen;PFI;Nee
281;Stephen;Mills;StephenMills@example.org;31-3-1992;89098352;ja;12-12-2020;6-3-2021;23-4-2021;AZ;Nee
282;Oma;Reilly;OmaReilly@example.org;20-4-1977;65360244;nee;nvt;18-4-2021;18-5-2021;PFI;Ja, 30 uur oud
283;Marquis;Howe;MarquisHowe@example.org;28-3-1942;48607493;nee;nvt;12-2-2021;4-4-2021;PFI;Nee
284;Suzanne;DuBuque;SuzanneDuBuque@example.org;2-6-1931;70570651;ja;31-5-2020;26-2-2021;23-4-2021;PFI;Nee
285;Rodolfo;Batz;RodolfoBatz@example.org;14-3-1997;93661322;nee;nvt;1-5-2021;nog inplannen;PFI;Nee
286;Gretchen;Bartoletti;GretchenBartoletti@example.org;13-9-1974;77906716;nee;nvt;18-4-2021;30-5-2021;PFI;Nee
287;Tristin;Wiza;TristinWiza@example.org;13-3-1981;36508927;ja;31-7-2020;20-3-2021;30-4-2021;PFI;Nee
288;Gordon;Schumm;GordonSchumm@example.org;28-11-1941;11619408;nee;nvt;11-1-2021;VOLDAAN;JANS;Nee
289;Dedric;Rippin;DedricRippin@example.org;29-4-1979;85469187;nee;nvt;2-2-2021;18-3-2021;AZ;Ja, 30 uur oud
290;Shana;Schultz;ShanaSchultz@example.org;20-3-1976;71776829;nee;nvt;6-5-2021;nog inplannen;PFI;Nee
291;Bella;Jaskolski;BellaJaskolski@example.org;15-12-1946;17412627;ja;1-8-2020;12-2-2021;13-4-2021;MOD;Nee
292;Bette;Swift;BetteSwift@example.org;24-11-1999;64296743;ja;2-5-2020;24-3-2021;22-4-2021;PFI;Nee
293;Sandrine;Schultz;SandrineSchultz@example.org;29-9-1937;37660998;ja;8-12-2020;21-1-2021;12-3-2021;PFI;Nee
294;Jaida;Schultz;JaidaSchultz@example.org;4-5-1996;41618599;nee;nvt;20-1-2021;26-2-2021;AZ;Nee
295;Norbert;Nader;NorbertNader@example.org;14-9-1944;35269977;nee;nvt;14-1-2021;20-2-2021;PFI;Nee
296;Geovanny;Schowalter;GeovannySchowalter@example.org;31-10-1990;46453163;ja;3-7-2020;5-3-2021;14-4-2021;AZ;Ja, 30 uur oud
297;Mable;Schuster;MableSchuster@example.org;13-7-1980;51929111;nee;nvt;28-1-2021;27-3-2021;PFI;Nee
298;Ulices;Bashirian;UlicesBashirian@example.org;6-3-1945;85364089;ja;24-9-2020;13-4-2021;nog inplannen;PFI;Nee
299;Katherine;Parker;KatherineParker@example.org;3-9-1956;89031669;ja;5-10-2020;31-5-2021;nog inplannen;PFI;Nee
300;Philip;Murazik;PhilipMurazik@example.org;23-9-1941;93017259;nee;nvt;10-1-2021;8-2-2021;MOD;Nee
301;Freeman;Borer;FreemanBorer@example.org;4-4-1962;64300324;nee;nvt;2-4-2021;22-5-2021;PFI;Nee
302;Lauriane;Kozey;LaurianeKozey@example.org;26-1-1945;22508587;nee;nvt;17-5-2021;nog inplannen;PFI;Nee
303;Gregorio;Schaden;GregorioSchaden@example.org;19-9-1962;31776169;ja;10-10-2020;11-1-2021;22-2-2021;PFI;Ja, 30 uur oud
304;Tomas;Schoen;TomasSchoen@example.org;29-6-2000;62635749;nee;nvt;12-2-2021;16-3-2021;MOD;Nee
305;Terence;Boehm;TerenceBoehm@example.org;22-8-1950;88542577;ja;27-7-2020;13-2-2021;21-3-2021;AZ;Nee
306;Arlo;Schimmel;ArloSchimmel@example.org;28-3-1973;42437964;nee;nvt;10-3-2021;17-4-2021;PFI;Nee
307;Maegan;Kilback;MaeganKilback@example.org;4-6-1938;43068412;nee;nvt;1-4-2021;13-5-2021;PFI;Nee
308;Selmer;Paucek;SelmerPaucek@example.org;16-11-1958;60335912;nee;nvt;3-5-2021;nog inplannen;PFI;Nee
309;Colt;Nader;ColtNader@example.org;18-11-1993;76491956;ja;24-11-2020;10-4-2021;24-5-2021;PFI;Nee
310;Sanford;Lubowitz;SanfordLubowitz@example.org;22-4-1938;75665583;nee;nvt;26-2-2021;12-4-2021;PFI;Ja, 48 uur oud
311;Aniya;Marquardt;AniyaMarquardt@example.org;13-2-1949;15010471;ja;6-5-2020;17-1-2021;17-2-2021;AZ;Nee
312;Elissa;Pfeffer;ElissaPfeffer@example.org;4-7-1967;12718623;nee;nvt;15-2-2021;15-3-2021;AZ;Nee
313;Allan;Kuvalis;AllanKuvalis@example.org;19-8-1978;53741119;nee;nvt;23-1-2021;28-2-2021;MOD;Nee
314;Friedrich;Aufderhar;FriedrichAufderhar@example.org;25-1-2000;88264704;nee;nvt;24-5-2021;nog inplannen;PFI;Nee
315;Axel;Bruen;AxelBruen@example.org;27-2-1994;58075943;ja;3-1-2021;12-5-2021;VOLDAAN;AZ;Nee
316;Ardith;Terry;ArdithTerry@example.org;10-7-1959;22202369;ja;13-10-2020;11-3-2021;14-4-2021;PFI;Nee
317;Opal;Runolfsdottir;OpalRunolfsdottir@example.org;2-2-1966;11011209;nee;nvt;7-4-2021;15-5-2021;MOD;Ja, 30 uur oud
318;Samantha;Veum;SamanthaVeum@example.org;10-8-1983;81032783;ja;24-8-2020;10-5-2021;VOLDAAN;JANS;Nee
319;Oswaldo;Miller;OswaldoMiller@example.org;6-8-1998;36614975;nee;nvt;1-6-2021;nog inplannen;PFI;Nee
320;Anna;Hegmann;AnnaHegmann@example.org;13-6-1954;95269138;nee;nvt;23-4-2021;23-5-2021;PFI;Nee
321;Keanu;Keeling;KeanuKeeling@example.org;1-9-1952;52528216;nee;nvt;4-4-2021;1-6-2021;PFI;Nee
322;Victor;Leannon;VictorLeannon@example.org;20-5-1995;69707090;ja;5-10-2020;21-1-2021;20-3-2021;PFI;Nee
323;Ray;Kuhn;RayKuhn@example.org;29-3-1939;14831331;nee;nvt;17-2-2021;2-4-2021;PFI;Nee
324;Tomasa;Berge;TomasaBerge@example.org;13-11-1960;59317139;nee;nvt;5-3-2021;29-4-2021;PFI;Ja, 30 uur oud
325;Kenyon;King;KenyonKing@example.org;14-8-1997;13715263;ja;29-12-2020;21-1-2021;26-2-2021;PFI;Nee
326;Leslie;Mayer;LeslieMayer@example.org;19-7-1989;38772215;nee;nvt;3-4-2021;VOLDAAN;JANS;Nee
327;Abner;Nienow;AbnerNienow@example.org;10-2-1958;42729797;nee;nvt;12-1-2021;15-2-2021;PFI;Nee
328;Stefanie;Roob;StefanieRoob@example.org;26-9-1972;19973662;ja;15-11-2020;7-3-2021;3-5-2021;PFI;Nee
329;Maybell;Treutel;MaybellTreutel@example.org;24-3-1954;25773457;ja;14-5-2020;19-2-2021;19-3-2021;AZ;Nee
330;Lenny;Runte;LennyRunte@example.org;5-4-1989;50459694;nee;nvt;12-1-2021;20-2-2021;PFI;Nee
331;Rashad;Borer;RashadBorer@example.org;11-1-1999;77701908;nee;nvt;27-5-2021;nog inplannen;PFI;Ja, 30 uur oud
332;Ramona;Nolan;RamonaNolan@example.org;4-4-1936;71281225;ja;1-1-2021;nog inplannen;nog inplannen;Niet gevaccineerd;Ja, 30 uur oud
333;Nathanial;Homenick;NathanialHomenick@example.org;21-7-1993;19194608;nee;nvt;nog inplannen;6-3-2021;PFI;Nee
334;Kyra;Swift;KyraSwift@example.org;23-3-1979;73449988;nee;nvt;nog inplannen;VOLDAAN;AZ;Nee
335;Josiane;Luettgen;JosianeLuettgen@example.org;2-2-1968;36359432;nee;nvt;31-1-2021;17-3-2021;PFI;Nee
336;Jaylan;Schowalter;JaylanSchowalter@example.org;24-3-1974;34208697;ja;19-7-2020;23-4-2021;2-6-2021;PFI;Nee
337;Johnny;Stiedemann;JohnnyStiedemann@example.org;4-10-1967;72321949;ja;16-12-2020;nog inplannen;nog inplannen;Niet gevaccineerd;Nee
338;Wendy;Monahan;WendyMonahan@example.org;7-9-1941;96972987;nee;nvt;11-3-2021;13-4-2021;PFI;Ja, 30 uur oud
339;Theodore;Okuneva;TheodoreOkuneva@example.org;18-1-1993;29898697;ja;27-5-2020;nog inplannen;nog inplannen;Niet gevaccineerd;Nee
340;Otis;Pfeffer;OtisPfeffer@example.org;28-12-1992;36329156;nee;nvt;3-2-2021;20-3-2021;PFI;Nee
341;Nikita;Ortiz;NikitaOrtiz@example.org;12-6-1941;32626707;nee;nvt;21-3-2021;20-5-2021;AZ;Nee
342;Kay;Fahey;KayFahey@example.org;6-11-1962;94066095;nee;nvt;18-5-2021;nog inplannen;PFI;Nee
343;Barbara;Rowe;BarbaraRowe@example.org;2-3-1992;23073045;nee;nvt;5-4-2021;29-5-2021;AZ;Nee
344;Nia;Williamson;NiaWilliamson@example.org;18-4-1932;39569822;nee;nvt;2-3-2021;30-4-2021;PFI;Nee
345;Sanford;Padberg;SanfordPadberg@example.org;30-12-1970;73960681;nee;nvt;9-3-2021;6-5-2021;PFI;Ja, 30 uur oud
346;Rick;Satterfield;RickSatterfield@example.org;14-6-1932;16186796;ja;3-10-2020;18-2-2021;1-4-2021;PFI;Nee
347;Wayne;Dibbert;WayneDibbert@example.org;16-10-1938;62663477;ja;17-6-2020;4-3-2021;20-4-2021;AZ;Nee
348;Carol;Pfannerstill;CarolPfannerstill@example.org;16-7-1946;20176388;ja;28-1-2021;15-5-2021;nog inplannen;PFI;Nee
349;Terence;O'Reilly;TerenceO'Reilly@example.org;1-5-1992;63772025;ja;5-9-2020;12-4-2021;12-5-2021;MOD;Nee
350;Freddie;Ferry;FreddieFerry@example.org;18-8-1978;59172023;ja;28-7-2020;15-5-2021;nog inplannen;PFI;Nee
351;Adolph;Kling;AdolphKling@example.org;20-3-2001;92484242;nee;nvt;17-1-2021;11-3-2021;PFI;Nee
352;Kiarra;Lynch;KiarraLynch@example.org;26-7-1973;50847959;ja;5-10-2020;2-5-2021;31-5-2021;PFI;Ja, 12 uur oud
353;Benny;Swift;BennySwift@example.org;4-3-1992;51053819;nee;nvt;3-3-2021;1-5-2021;AZ;Nee
354;Leanne;Botsford;LeanneBotsford@example.org;13-4-1948;75645959;ja;29-9-2020;2-4-2021;7-5-2021;PFI;Nee
355;Ashly;Skiles;AshlySkiles@example.org;17-7-1963;27021263;ja;15-10-2020;18-5-2021;nog inplannen;PFI;Nee
356;Karina;Rice;KarinaRice@example.org;2-2-1947;98729846;nee;nvt;4-4-2021;1-6-2021;MOD;Nee
357;Sally;Hayes;SallyHayes@example.org;14-3-1988;17137689;ja;23-5-2020;22-2-2021;24-3-2021;AZ;Nee
358;Eric;Johnson;EricJohnson@example.org;25-4-1957;55900275;nee;nvt;10-4-2021;28-5-2021;PFI;Nee
359;Piper;Jaskolski;PiperJaskolski@example.org;30-7-1993;96419635;ja;23-9-2020;3-4-2021;21-5-2021;PFI;Ja, 30 uur oud
360;Noelia;Schmidt;NoeliaSchmidt@example.org;5-9-1936;97037709;ja;6-9-2020;20-1-2021;20-2-2021;MOD;Nee
361;Ericka;Halvorson;ErickaHalvorson@example.org;22-5-1943;58141760;ja;12-7-2020;9-5-2021;nog inplannen;PFI;Nee
362;Saul;Reichel;SaulReichel@example.org;25-4-1988;36652866;ja;20-12-2020;5-3-2021;4-4-2021;PFI;Nee
363;Kathleen;Hyatt;KathleenHyatt@example.org;30-3-1967;17029913;ja;13-11-2020;29-4-2021;nog inplannen;AZ;Nee
364;Jazlyn;Hessel;JazlynHessel@example.org;26-2-1962;70466763;ja;6-7-2020;4-3-2021;30-4-2021;PFI;Nee
365;Brian;Sawayn;BrianSawayn@example.org;1-8-1961;30229498;nee;nvt;22-4-2021;VOLDAAN;AZ;Nee
366;Antonette;VonRueden;AntonetteVonRueden@example.org;19-10-1974;13829656;ja;13-5-2020;12-3-2021;16-4-2021;PFI;Ja, 30 uur oud
367;Saul;Schultz;SaulSchultz@example.org;16-11-1991;66683992;nee;nvt;5-5-2021;nog inplannen;PFI;Nee
368;Michale;Wisoky;MichaleWisoky@example.org;17-3-1934;84497114;ja;15-5-2020;10-2-2021;10-3-2021;PFI;Nee
369;Jacques;Brown;JacquesBrown@example.org;6-6-1988;68933005;nee;nvt;31-3-2021;22-5-2021;PFI;Nee
370;Meredith;Hilpert;MeredithHilpert@example.org;15-8-1944;85260342;ja;4-9-2020;21-5-2021;VOLDAAN;JANS;Nee
371;Diana;Hammes;DianaHammes@example.org;21-4-1943;15685489;nee;nvt;30-3-2021;25-5-2021;MOD;Nee
372;Norbert;Paucek;NorbertPaucek@example.org;4-9-1976;62994838;nee;nvt;2-3-2021;25-4-2021;AZ;Nee
373;Osborne;Hilll;OsborneHilll@example.org;20-5-1967;53345570;nee;nvt;16-4-2021;nog inplannen;PFI;Ja, 30 uur oud
374;Alize;Boyle;AlizeBoyle@example.org;17-12-1939;69048017;ja;19-10-2020;15-2-2021;5-4-2021;PFI;Nee
375;Ila;Lubowitz;IlaLubowitz@example.org;3-9-1967;51621741;ja;5-11-2020;28-5-2021;VOLDAAN;AZ;Nee
376;Amiya;Kirlin;AmiyaKirlin@example.org;15-11-1965;59729156;ja;24-5-2020;8-5-2021;VOLDAAN;AZ;Nee
377;Chanelle;Von;ChanelleVon@example.org;15-3-1967;64338312;ja;25-7-2020;15-3-2021;29-4-2021;PFI;Nee
378;Kenneth;Stiedemann;KennethStiedemann@example.org;23-10-1957;78136936;ja;28-9-2020;21-1-2021;21-3-2021;MOD;Nee
379;Malachi;Dickinson;MalachiDickinson@example.org;15-7-1932;63562061;nee;nvt;31-3-2021;27-5-2021;PFI;Nee
380;Bud;Abernathy;BudAbernathy@example.org;12-5-1982;97803520;ja;1-8-2020;26-1-2021;16-3-2021;PFI;Ja, 12 uur oud
381;Kirstin;Anderson;KirstinAnderson@example.org;17-10-1977;29088638;nee;nvt;21-5-2021;nog inplannen;PFI;Nee
382;Nathanael;Fisher;NathanaelFisher@example.org;4-4-1998;18210728;ja;25-10-2020;12-3-2021;7-5-2021;ONB;Nee
383;Una;Reilly;UnaReilly@example.org;3-1-1991;28721381;ja;30-6-2020;11-4-2021;9-5-2021;PFI;Nee
384;Karina;Marks;KarinaMarks@example.org;26-9-2002;24247552;ja;14-9-2020;nog inplannen;nog inplannen;Niet gevaccineerd;Nee
385;Randi;Legros;RandiLegros@example.org;5-9-1987;80417465;nee;nvt;nog inplannen;7-5-2021;PFI;Nee
386;Bernadette;Langosh;BernadetteLangosh@example.org;20-3-1966;15473411;nee;nvt;nog inplannen;VOLDAAN;JANS;Nee
387;Terrill;Stiedemann;TerrillStiedemann@example.org;20-4-2001;15963803;nee;nvt;nog inplannen;3-4-2021;PFI;Ja, 30 uur oud
388;Magnus;Kirlin;MagnusKirlin@example.org;29-5-1999;37911057;nee;nvt;nog inplannen;nog inplannen;Niet gevaccineerd;Nee
389;Chase;Brown;ChaseBrown@example.org;27-1-2000;27683637;ja;31-12-2020;nog inplannen;nog inplannen;Niet gevaccineerd;Nee
390;Darion;Bahringer;DarionBahringer@example.org;20-4-1986;55909508;ja;15-10-2020;nog inplannen;2-5-2021;PFI;Nee
391;Willie;Zemlak;WillieZemlak@example.org;25-8-1930;16324496;ja;19-11-2020;17-2-2021;VOLDAAN;JANS;Nee
392;Scottie;Cole;ScottieCole@example.org;18-11-1974;15671269;nee;nvt;nog inplannen;nog inplannen;Niet gevaccineerd;Nee
393;Hope;Pagac;HopePagac@example.org;7-4-1959;73220879;nee;nvt;23-1-2021;13-3-2021;PFI;Nee
394;Curt;Grady;CurtGrady@example.org;1-10-1943;94838654;nee;nvt;1-2-2021;30-3-2021;PFI;Ja, 30 uur oud
395;Zachery;Mertz;ZacheryMertz@example.org;8-9-1933;55382472;ja;10-11-2020;6-2-2021;15-3-2021;MOD;Nee
396;Isaac;Gerlach;IsaacGerlach@example.org;20-6-1971;66062994;nee;nvt;26-3-2021;1-5-2021;MOD;Nee
397;Mossie;Fisher;MossieFisher@example.org;7-8-1993;13765884;ja;22-1-2021;nog inplannen;nog inplannen;Niet gevaccineerd;Nee
398;Bulah;Ward;BulahWard@example.org;11-2-1974;21832442;ja;25-8-2020;17-2-2021;17-3-2021;AZ;Nee
399;Bell;Kozey;BellKozey@example.org;28-12-1983;58595269;ja;5-12-2020;23-1-2021;4-3-2021;PFI;Nee
400;Kiley;Glover;KileyGlover@example.org;2-11-1977;81800214;ja;9-11-2020;10-3-2021;21-4-2021;PFI;Nee
401;Otilia;Feil;OtiliaFeil@example.org;25-6-2003;61302648;nee;nvt;11-2-2021;29-3-2021;ONB;Ja, 30 uur oud
402;Ruthie;Windler;RuthieWindler@example.org;25-8-1973;97622336;nee;nvt;nog inplannen;nog inplannen;Niet gevaccineerd;Ja, 30 uur oud
403;Marshall;Kris;MarshallKris@example.org;19-3-1977;37162134;ja;11-8-2020;28-2-2021;6-4-2021;MOD;Nee
404;Eli;Keeling;EliKeeling@example.org;9-2-1940;28801213;ja;20-12-2020;25-1-2021;17-3-2021;ONB;Nee
405;Deonte;Pollich;DeontePollich@example.org;14-2-1945;68004986;nee;nvt;26-2-2021;4-4-2021;PFI;Nee
406;Shanny;Carter;ShannyCarter@example.org;30-10-1970;32609393;ja;1-7-2020;2-2-2021;18-3-2021;PFI;Nee
407;Alf;Wilderman;AlfWilderman@example.org;19-1-1989;62891606;ja;18-10-2020;19-4-2021;1-6-2021;AZ;Nee
408;Sammie;Hackett;SammieHackett@example.org;7-10-1932;57641657;nee;nvt;1-2-2021;19-3-2021;PFI;Ja, 30 uur oud
409;Mallie;Abshire;MallieAbshire@example.org;3-12-1955;89116199;ja;28-1-2021;3-5-2021;nog inplannen;PFI;Nee
410;Sunny;Mertz;SunnyMertz@example.org;12-2-1954;43806883;ja;29-11-2020;16-3-2021;14-4-2021;PFI;Nee
411;Ozella;Fahey;OzellaFahey@example.org;21-10-1995;16212767;ja;24-9-2020;16-5-2021;nog inplannen;PFI;Nee
412;Sherman;Johns;ShermanJohns@example.org;18-3-1975;74503408;nee;nvt;4-5-2021;nog inplannen;PFI;Nee
